essId	wdCnt	StsCnt	lWdCnt	advCnt	adjCnt	nunCnt	verbCnt	vbgCnt	cmaCnt	punCnt	wdLen
1	.269	.182	.25	.022	.288	.296	.244	.204	.256	.125	.724
2	.341	.227	.402	.112	.144	.431	.345	.306	.171	.156	.787
3	.23	.159	.227	.067	.144	.296	.185	.204	.128	.11	.787
4	.533	.307	.614	.089	.522	.583	.32	.17	.185	.211	.772
5	.341	.341	.379	.179	.306	.418	.278	.102	.185	.235	.805
6	.162	.17	.167	.156	.054	.183	.143	.136	.043	.117	.754
7	.424	.341	.303	.29	.252	.531	.354	.306	.499	.235	.744
8	.414	.455	.462	.223	.576	.448	.295	.102	.157	.305	.771
9	.36	.398	.318	.134	.378	.405	.278	.102	.228	.274	.733
10	.382	.295	.235	.179	.504	.392	.379	.238	.199	.203	.695
11	.322	.25	.356	.268	.18	.335	.328	.272	.185	.172	.817
12	.358	.284	.333	.335	.378	.4	.236	.238	.0	.196	.737
13	.162	.068	.098	.022	.162	.191	.143	.068	.0	.047	.666
14	.307	.284	.227	.112	.324	.37	.286	.034	.0	.196	.708
15	.154	.148	.152	.045	.162	.213	.084	.102	.1	.102	.773
16	.525	.398	.515	.246	.324	.627	.463	.136	.328	.274	.798
17	.247	.205	.212	.29	.126	.261	.21	.17	.256	.141	.696
18	.239	.17	.212	.246	.144	.283	.185	.238	.37	.117	.714
19	.087	.08	.076	.0	.072	.126	.042	.0	.0	.047	.703
20	.145	.125	.159	.045	.216	.196	.051	.0	.043	.094	.802
21	.258	.227	.295	.179	.198	.3	.236	.102	.199	.156	.81
22	.049	.023	.038	.0	.036	.07	.017	.034	.0	.016	.761
23	.431	.341	.386	.201	.216	.479	.404	.17	.157	.235	.704
24	.495	.443	.508	.179	.414	.557	.387	.102	.598	.313	.772
25	.226	.182	.288	.045	.126	.292	.227	.102	.142	.125	.795
26	.318	.25	.288	.201	.198	.348	.253	.136	.328	.172	.755
