essId	avgDpt	dptSD	nbDptD	nbDptSD
1	.275	.418	.198	.379
2	.243	.172	.075	.144
3	.221	.283	.087	.247
4	.222	.308	.091	.249
5	.208	.198	.064	.163
6	.205	.187	.078	.152
7	.212	.198	.078	.135
8	.197	.219	.08	.232
9	.178	.178	.068	.125
10	.257	.289	.112	.244
11	.193	.22	.078	.258
12	.216	.191	.065	.179
13	.372	.467	.257	.36
14	.185	.143	.057	.125
15	.197	.222	.103	.193
16	.207	.24	.102	.236
17	.242	.198	.072	.194
18	.27	.288	.131	.254
19	.139	.117	.044	.052
20	.226	.26	.13	.212
21	.225	.218	.059	.184
22	.31	.064	.044	.0
23	.23	.241	.102	.166
24	.186	.212	.095	.186
25	.253	.146	.062	.129
26	.215	.202	.089	.154
27	.221	.141	.074	.125
28	.177	.186	.081	.176
29	.223	.232	.104	.21
30	.265	.241	.087	.214
31	.173	.209	.08	.169
32	.188	.186	.079	.158
33	.194	.183	.08	.192
34	.192	.226	.096	.214
35	.2	.223	.086	.172
36	.247	.236	.094	.201
37	.213	.204	.076	.153
38	.292	.24	.088	.188
39	.236	.408	.112	.307
40	.189	.205	.09	.172
41	.236	.131	.088	.063
42	.264	.28	.088	.236
43	.235	.23	.057	.172
44	.175	.172	.06	.136
45	.212	.144	.07	.129
46	.344	.444	.192	.457
47	.214	.207	.1	.151
48	.207	.201	.073	.14
49	.187	.154	.048	.124
50	.26	.237	.103	.108
51	.412	.436	.177	.431
52	.24	.278	.114	.257
53	.216	.176	.073	.149
54	.183	.242	.1	.224
55	.254	.218	.098	.172
56	.256	.29	.101	.236
57	.186	.157	.063	.13
58	.207	.182	.068	.154
59	.253	.312	.145	.305
60	.173	.135	.075	.148
61	.18	.174	.069	.161
62	.281	.275	.123	.185
63	.243	.246	.111	.252
64	.243	.32	.133	.254
65	.214	.222	.089	.193
66	.206	.2	.087	.206
67	.235	.256	.077	.188
68	.171	.173	.064	.122
69	.225	.345	.129	.285
70	.199	.258	.097	.311
71	.251	.247	.083	.212
72	.255	.186	.068	.168
73	.227	.281	.094	.176
74	.176	.155	.061	.116
75	.205	.171	.073	.139
76	.19	.187	.076	.176
77	.171	.122	.047	.107
78	.196	.222	.074	.199
79	.247	.335	.138	.295
80	.236	.219	.088	.185
81	.271	.169	.085	.149
82	.213	.216	.086	.217
83	.29	.184	.064	.107
84	.253	.325	.148	.145
85	.248	.251	.095	.178
86	.201	.202	.08	.154
87	.154	.154	.052	.116
88	.272	.385	.116	.26
89	.149	.106	.044	.103
90	.285	.423	.138	.436
91	.184	.235	.087	.203
92	.179	.229	.072	.202
93	.268	.227	.101	.209
94	.181	.267	.099	.307
95	.183	.197	.082	.178
96	.201	.217	.079	.177
97	.203	.225	.106	.16
98	.174	.156	.062	.122
99	.22	.24	.085	.202
100	.215	.281	.13	.187
101	.173	.147	.048	.093
102	.213	.181	.073	.138
103	.267	.317	.152	.321
104	.248	.289	.126	.256
105	.198	.238	.082	.186
106	.191	.186	.086	.118
107	.185	.191	.064	.151
108	.228	.319	.104	.238
109	.206	.199	.076	.193
110	.213	.19	.055	.156
111	.2	.206	.072	.195
112	.204	.214	.092	.137
113	.175	.188	.078	.199
114	.228	.184	.065	.158
115	.233	.357	.107	.325
116	.194	.273	.096	.209
117	.202	.145	.06	.144
118	.208	.226	.092	.177
119	.193	.194	.076	.177
120	.249	.259	.08	.161
121	.258	.301	.155	.261
122	.224	.231	.077	.191
123	.215	.186	.059	.172
124	.371	.243	.105	.179
125	.044	.0	.044	.0
126	.327	.342	.135	.178
127	.22	.237	.094	.218
128	.194	.178	.076	.15
129	.21	.197	.076	.153
130	.211	.199	.07	.175
131	.228	.182	.082	.157
132	.209	.164	.065	.162
133	.172	.173	.069	.161
134	.228	.304	.099	.27
135	.288	.375	.135	.236
136	.187	.253	.085	.243
137	.293	.336	.149	.216
138	.211	.337	.134	.33
139	.216	.207	.093	.177
140	.184	.207	.069	.174
141	.199	.179	.071	.163
142	.197	.174	.054	.141
143	.219	.244	.107	.196
144	.211	.191	.06	.101
145	.204	.184	.063	.134
146	.501	.109	.044	.063
147	.201	.249	.111	.221
148	.224	.181	.065	.159
149	.218	.233	.099	.196
150	.179	.174	.071	.167
151	.335	.143	.059	.14
152	.215	.25	.086	.082
153	.227	.191	.063	.118
154	.18	.196	.066	.131
155	.205	.2	.066	.201
156	.179	.218	.077	.191
157	.206	.286	.096	.258
158	.188	.178	.071	.163
159	.17	.178	.069	.167
160	.202	.13	.054	.134
161	.195	.206	.085	.154
162	.214	.218	.082	.195
163	.182	.217	.078	.172
164	.347	.404	.16	.328
165	.179	.183	.079	.158
166	.206	.249	.091	.213
167	.212	.228	.104	.122
168	.297	.531	.223	.442
169	.188	.144	.054	.131
170	.236	.172	.077	.131
171	.239	.477	.155	.428
172	.391	.397	.164	.178
173	.256	.387	.145	.365
174	.222	.22	.088	.241
