essId	gErrCnt	gErrTypes	sErrCnt	sErrTypes	gErrSpanSum	avgGErrSpan	gErrDen
1	.0	.0	.181	.224	.0	.0	.0
2	.016	.109	.257	.306	.041	.255	.002
3	.055	.326	.03	.041	.118	.208	.01
4	.15	.598	.423	.49	.353	.229	.014
5	.032	.217	.211	.224	.111	.344	.003
6	.039	.217	.166	.224	.051	.126	.007
7	.008	.054	.076	.082	.013	.157	.001
8	.063	.163	.181	.082	.054	.083	.004
9	.055	.272	.181	.163	.051	.09	.004
10	.055	.326	.242	.184	.14	.247	.005
11	.016	.109	.151	.143	.032	.196	.002
12	.032	.217	.514	.531	.083	.255	.003
13	.008	.054	.363	.367	.01	.118	.003
14	.095	.38	.529	.469	.299	.308	.009
15	.016	.054	.136	.184	.038	.236	.003
16	.047	.217	.347	.408	.064	.131	.003
17	.032	.217	.151	.122	.086	.265	.004
18	.039	.272	.121	.163	.124	.306	.007
19	.0	.0	.529	.633	.0	.0	.0
20	.0	.0	.121	.163	.0	.0	.0
21	.016	.109	.211	.245	.041	.255	.002
22	.0	.0	.015	.02	.0	.0	.0
23	.016	.109	.136	.122	.086	.53	.001
24	.118	.435	.302	.204	.159	.131	.008
25	.0	.0	.076	.102	.0	.0	.0
26	.071	.326	.166	.224	.114	.157	.008
27	.0	.0	.151	.163	.0	.0	.0
28	.055	.326	.227	.286	.168	.297	.005
29	.016	.109	.257	.245	.057	.353	.002
30	.008	.054	.03	.02	.013	.157	.001
31	.142	.326	.181	.204	.124	.085	.01
32	.063	.217	.06	.041	.038	.059	.004
33	.008	.054	.106	.102	.016	.196	.002
34	.039	.272	.257	.347	.095	.236	.004
35	.008	.054	.121	.122	.029	.353	.001
36	.079	.543	.06	.082	.153	.188	.008
37	.039	.272	.347	.367	.111	.275	.003
38	.063	.435	.151	.184	.095	.147	.009
39	.039	.217	.242	.245	.041	.102	.004
40	.008	.054	.076	.102	.01	.118	.001
41	.008	.054	.0	.0	.006	.079	.007
42	.032	.217	.196	.184	.089	.275	.006
43	.024	.109	.03	.041	.029	.118	.007
44	.063	.217	.045	.061	.073	.113	.006
45	.024	.163	.121	.163	.045	.183	.003
46	.024	.163	.136	.122	.111	.458	.005
47	.024	.163	.257	.306	.045	.183	.003
48	.055	.272	.076	.102	.076	.135	.004
49	.016	.109	.06	.082	.041	.255	.001
50	.016	.109	.106	.143	.019	.118	.01
51	.079	.435	.242	.204	.14	.173	.015
52	.039	.272	.196	.184	.092	.228	.007
53	.095	.435	.091	.122	.162	.167	.009
54	.063	.38	.287	.306	.067	.103	.005
55	.016	.109	.091	.102	.048	.295	.004
56	.032	.217	.091	.122	.083	.255	.004
57	.024	.163	.136	.184	.067	.275	.003
58	.055	.163	.076	.102	.032	.056	.01
59	.039	.272	.181	.204	.07	.173	.004
60	.008	.054	.045	.061	.016	.196	.003
61	.008	.054	.06	.082	.006	.079	.001
62	.055	.326	.196	.224	.067	.118	.01
63	.008	.054	.045	.061	.032	.393	.001
64	.024	.163	.121	.122	.07	.288	.01
65	.039	.272	.181	.245	.067	.165	.004
66	.039	.217	.196	.265	.121	.298	.004
67	.055	.272	.151	.143	.111	.196	.007
68	.063	.326	.196	.204	.127	.196	.005
69	.055	.217	.03	.041	.162	.286	.008
70	.134	.543	.076	.102	.257	.187	.012
71	.087	.272	.181	.245	.178	.2	.01
72	.087	.217	.211	.245	.079	.089	.009
73	.189	.272	.151	.184	.102	.052	.022
74	.032	.217	.06	.082	.038	.118	.003
75	.016	.109	.091	.122	.029	.177	.002
76	.071	.163	.196	.143	.029	.039	.009
77	.087	.326	.272	.184	.172	.193	.005
78	.363	.38	.136	.143	.2	.054	.027
79	.079	.435	.015	.02	.194	.24	.011
80	.039	.217	.408	.367	.099	.243	.005
81	.063	.272	.091	.061	.143	.221	.01
