id	mls	mlt	mlc	c_s	vp_t	c_t	dc_c	dc_t	t_s	ct_t	cp_t	cp_c	cn_t	cn_c
1	0.0695	0.0646	0.0650	0.1315	0.2022	0.1566	0.5161	0.0985	0.1218	0.0985	0.1951	0.2111	0.0952	0.1631	
2	0.0693	0.0576	0.0559	0.1527	0.1766	0.1623	0.4222	0.0835	0.1364	0.0835	0.1510	0.1576	0.0451	0.0745	
3	0.0664	0.0454	0.0414	0.1988	0.1404	0.1726	0.3659	0.0769	0.1670	0.0872	0.1220	0.1197	0.0478	0.0743	
4	0.0682	0.0536	0.0492	0.1709	0.1461	0.1717	0.4706	0.0985	0.1443	0.1108	0.0650	0.0641	0.0808	0.1263	
5	0.0438	0.0378	0.0419	0.1403	0.1345	0.1423	0.3548	0.0615	0.1429	0.0643	0.0887	0.1055	0.0334	0.0629	
6	0.0328	0.0335	0.0398	0.1188	0.1369	0.1326	0.5000	0.0808	0.1299	0.0750	0.0915	0.1169	0.0398	0.0805	
7	0.0565	0.0493	0.0600	0.1199	0.1232	0.1295	0.3585	0.0566	0.1342	0.0566	0.1180	0.1544	0.0705	0.1460	
8	0.0385	0.0313	0.0409	0.1305	0.1088	0.1209	0.2667	0.0393	0.1565	0.0432	0.0623	0.0873	0.0278	0.0617	
9	0.0382	0.0337	0.0471	0.1125	0.1023	0.1127	0.2414	0.0331	0.1447	0.0355	0.0688	0.1035	0.0326	0.0777	
10	0.0596	0.0433	0.0412	0.1827	0.1510	0.1657	0.4286	0.0865	0.1598	0.0981	0.1296	0.1325	0.0478	0.0775	
11	0.0579	0.0424	0.0567	0.1296	0.0936	0.1178	0.2381	0.0342	0.1594	0.0376	0.0542	0.0779	0.0497	0.1131	
12	0.0564	0.0490	0.0457	0.1575	0.1448	0.1690	0.4655	0.0959	0.1351	0.0994	0.0938	0.0940	0.0443	0.0704	
13	0.1231	0.0858	0.0390	0.3620	0.2889	0.3463	0.6875	0.2901	0.1515	0.3033	0.2439	0.1193	0.1376	0.1066	
14	0.0499	0.0427	0.0749	0.0869	0.1082	0.0898	0.3438	0.0376	0.1403	0.0376	0.1174	0.2216	0.0376	0.1123	
15	0.0466	0.0406	0.0622	0.0992	0.1043	0.1028	0.1579	0.0198	0.1399	0.0264	0.1220	0.2009	0.0442	0.1154	
16	0.0596	0.0478	0.0626	0.1202	0.1224	0.1204	0.3548	0.0521	0.1447	0.0521	0.1126	0.1583	0.0397	0.0884	
17	0.0573	0.0387	0.0371	0.1961	0.1358	0.1641	0.4231	0.0846	0.1732	0.0962	0.0711	0.0734	0.0272	0.0445	
18	0.0670	0.0352	0.0359	0.2308	0.1371	0.1545	0.3529	0.0665	0.2165	0.0923	0.1366	0.1497	0.0378	0.0657	
19	0.0509	0.0469	0.0683	0.0970	0.0803	0.1082	0.3000	0.0396	0.1299	0.0396	0.0349	0.0545	0.0221	0.0548	
20	0.0590	0.0480	0.0500	0.1493	0.1226	0.1515	0.4091	0.0755	0.1429	0.0839	0.1330	0.1487	0.0704	0.1246	
21	0.0508	0.0407	0.0513	0.1290	0.1368	0.1252	0.3947	0.0602	0.1494	0.0722	0.0954	0.1292	0.0366	0.0786	
22	0.1068	0.0881	0.0733	0.1697	0.1685	0.1894	0.6000	0.1385	0.1299	0.1385	0.3659	0.3273	0.1290	0.1828	
23	0.0499	0.0433	0.0488	0.1335	0.1317	0.1397	0.3729	0.0635	0.1385	0.0692	0.1753	0.2126	0.0473	0.0909	
24	0.0463	0.0395	0.0535	0.1149	0.1163	0.1163	0.2424	0.0343	0.1432	0.0301	0.0737	0.1075	0.0328	0.0757	
25	0.0579	0.0520	0.0481	0.1527	0.1756	0.1705	0.5833	0.1212	0.1299	0.1212	0.1372	0.1364	0.0602	0.0948	
26	0.0501	0.0355	0.0363	0.1800	0.1236	0.1540	0.4098	0.0769	0.1694	0.0862	0.1138	0.1252	0.0287	0.0499	
27	0.0509	0.0298	0.0341	0.1939	0.1124	0.1377	0.3500	0.0587	0.2041	0.0671	0.1109	0.1364	0.0297	0.0579	
28	0.0424	0.0355	0.0622	0.0921	0.0983	0.0900	0.2632	0.0288	0.1484	0.0433	0.0762	0.1436	0.0253	0.0754	
29	0.0487	0.0385	0.0461	0.1387	0.1269	0.1319	0.3830	0.0615	0.1525	0.0615	0.1174	0.1509	0.0401	0.0817	
30	0.0626	0.0490	0.0468	0.1674	0.1718	0.1649	0.5135	0.1032	0.1472	0.1086	0.1291	0.1327	0.0425	0.0692	
31	0.0461	0.0368	0.0457	0.1338	0.1096	0.1269	0.2985	0.0462	0.1528	0.0508	0.0732	0.0977	0.0292	0.0618	
32	0.0401	0.0342	0.0429	0.1282	0.1137	0.1256	0.3088	0.0473	0.1479	0.0473	0.1071	0.1444	0.0252	0.0538	
33	0.0416	0.0400	0.0526	0.1075	0.1264	0.1199	0.3158	0.0462	0.1299	0.0462	0.1016	0.1436	0.0659	0.1475	
34	0.0433	0.0413	0.0519	0.1122	0.1188	0.1253	0.4186	0.0639	0.1299	0.0639	0.1407	0.1903	0.0410	0.0878	
35	0.0314	0.0307	0.0372	0.1234	0.1332	0.1299	0.4167	0.0659	0.1377	0.0633	0.0418	0.0545	0.0329	0.0680	
36	0.0652	0.0417	0.0428	0.1895	0.1498	0.1538	0.4179	0.0783	0.1786	0.0895	0.0813	0.0896	0.0511	0.0891	
37	0.0511	0.0394	0.0433	0.1533	0.1321	0.1433	0.3857	0.0674	0.1550	0.0699	0.0659	0.0779	0.0446	0.0836	
38	0.0627	0.0525	0.0447	0.1757	0.1998	0.1852	0.5227	0.1180	0.1375	0.1282	0.0678	0.0620	0.0889	0.1288	
39	0.0747	0.0567	0.0719	0.1265	0.1551	0.1242	0.4878	0.0738	0.1476	0.0849	0.2049	0.2794	0.1032	0.2229	
40	0.0362	0.0320	0.0400	0.1273	0.1124	0.1263	0.3333	0.0513	0.1461	0.0513	0.0407	0.0545	0.0268	0.0569	
41	0.0452	0.0427	0.0444	0.1357	0.1498	0.1515	0.5000	0.0923	0.1299	0.0923	0.0813	0.0909	0.0287	0.0508	
42	0.0595	0.0496	0.0442	0.1697	0.1648	0.1768	0.5714	0.1231	0.1391	0.1231	0.1301	0.1247	0.0757	0.1149	
43	0.0620	0.0550	0.0572	0.1357	0.1404	0.1515	0.3750	0.0692	0.1299	0.0692	0.1524	0.1705	0.0516	0.0914	
44	0.0369	0.0366	0.0609	0.0848	0.1023	0.0947	0.2857	0.0330	0.1299	0.0330	0.0349	0.0623	0.0301	0.0853	
45	0.0508	0.0520	0.0812	0.0814	0.1217	0.1010	0.5833	0.0718	0.1169	0.0564	0.2303	0.3863	0.0506	0.1345	
46	0.1108	0.0715	0.0408	0.3147	0.2448	0.2760	0.6667	0.2242	0.1653	0.2242	0.0697	0.0428	0.1081	0.1051	
47	0.0573	0.0489	0.0666	0.1094	0.1242	0.1156	0.3793	0.0534	0.1371	0.0486	0.1412	0.2069	0.0643	0.1492	
48	0.0479	0.0378	0.0511	0.1234	0.1138	0.1166	0.3000	0.0426	0.1535	0.0473	0.0500	0.0727	0.0353	0.0812	
49	0.0303	0.0317	0.0424	0.1056	0.1082	0.1178	0.3333	0.0479	0.1299	0.0479	0.0361	0.0519	0.0389	0.0885	
50	0.0742	0.0641	0.0592	0.1527	0.1404	0.1705	0.5556	0.1154	0.1299	0.1154	0.1829	0.1818	0.0903	0.1422	
51	0.1077	0.0412	0.0245	0.5117	0.2067	0.2652	0.4286	0.1385	0.2797	0.1945	0.1481	0.0946	0.0682	0.0690	
52	0.0539	0.0491	0.0494	0.1403	0.1536	0.1566	0.5484	0.1046	0.1299	0.1046	0.0813	0.0880	0.0872	0.1494	
53	0.0408	0.0313	0.0326	0.1709	0.1305	0.1515	0.3824	0.0706	0.1635	0.0760	0.0430	0.0481	0.0288	0.0511	
54	0.0465	0.0387	0.0485	0.1270	0.1027	0.1255	0.3621	0.0554	0.1466	0.0633	0.0558	0.0752	0.0374	0.0798	
55	0.0775	0.0604	0.0395	0.2376	0.1788	0.2410	0.4857	0.1427	0.1429	0.1594	0.1330	0.0935	0.0782	0.0870	
56	0.0856	0.0664	0.0789	0.1296	0.1451	0.1326	0.4286	0.0692	0.1417	0.0654	0.1829	0.2338	0.1032	0.2089	
57	0.0473	0.0424	0.0604	0.1033	0.0983	0.1105	0.2286	0.0308	0.1355	0.0308	0.1220	0.1870	0.0244	0.0592	
58	0.0362	0.0280	0.0328	0.1551	0.1248	0.1347	0.4688	0.0769	0.1670	0.0769	0.0678	0.0852	0.0287	0.0571	
59	0.0579	0.0382	0.0397	0.1851	0.1404	0.1515	0.3833	0.0708	0.1771	0.0985	0.0569	0.0637	0.0659	0.1168	
60	0.0452	0.0427	0.0484	0.1244	0.1030	0.1389	0.4545	0.0769	0.1299	0.0769	0.1220	0.1487	0.0516	0.0997	
61	0.0459	0.0397	0.0688	0.0885	0.1169	0.0909	0.2333	0.0258	0.1412	0.0258	0.1073	0.2000	0.0213	0.0630	
62	0.0696	0.0499	0.0431	0.1988	0.1851	0.1827	0.4634	0.1032	0.1577	0.1195	0.1722	0.1597	0.0688	0.1010	
63	0.0442	0.0297	0.0309	0.1916	0.1217	0.1515	0.3333	0.0615	0.1834	0.0654	0.0508	0.0568	0.0337	0.0597	
64	0.1213	0.0846	0.0616	0.2262	0.1605	0.2164	0.4500	0.1187	0.1515	0.1714	0.2439	0.1909	0.0467	0.0579	
65	0.0511	0.0364	0.0443	0.1499	0.1232	0.1295	0.3208	0.0506	0.1678	0.0536	0.0944	0.1235	0.0355	0.0736	
66	0.0438	0.0372	0.0541	0.1086	0.1224	0.1082	0.2750	0.0363	0.1455	0.0363	0.1655	0.2591	0.0246	0.0609	
67	0.0503	0.0464	0.0522	0.1256	0.1517	0.1402	0.4324	0.0738	0.1299	0.0738	0.0976	0.1179	0.0568	0.1087	
68	0.0373	0.0320	0.0436	0.1193	0.0976	0.1156	0.2069	0.0292	0.1495	0.0292	0.0834	0.1222	0.0190	0.0441	
69	0.0325	0.0334	0.0367	0.1282	0.1467	0.1431	0.4706	0.0821	0.1299	0.0872	0.0678	0.0802	0.0564	0.1057	
70	0.0443	0.0392	0.0510	0.1164	0.1142	0.1212	0.2917	0.0431	0.1391	0.0462	0.0650	0.0909	0.0579	0.1282	
71	0.0680	0.0500	0.0520	0.1616	0.1618	0.1515	0.3800	0.0702	0.1546	0.0738	0.0878	0.0982	0.0413	0.0731	
72	0.0803	0.0535	0.0548	0.1765	0.1475	0.1539	0.4923	0.0923	0.1662	0.1096	0.1448	0.1594	0.0511	0.0890	
73	0.0633	0.0535	0.0490	0.1616	0.1353	0.1722	0.4600	0.0965	0.1361	0.1049	0.1109	0.1091	0.0680	0.1060	
74	0.0296	0.0282	0.0386	0.1139	0.1105	0.1149	0.2766	0.0387	0.1438	0.0387	0.0472	0.0697	0.0211	0.0493	
75	0.0649	0.0572	0.0961	0.0840	0.1017	0.0938	0.2692	0.0308	0.1299	0.0308	0.1626	0.2937	0.1057	0.3023	
76	0.0525	0.0326	0.0413	0.1643	0.1063	0.1245	0.2174	0.0330	0.1914	0.0429	0.0349	0.0475	0.0332	0.0715	
77	0.0347	0.0304	0.0402	0.1227	0.0978	0.1193	0.2471	0.0359	0.1492	0.0359	0.0271	0.0385	0.0217	0.0487	
78	0.0574	0.0534	0.0757	0.0963	0.1404	0.1111	0.2500	0.0338	0.1257	0.0246	0.0894	0.1364	0.0499	0.1205	
79	0.0555	0.0411	0.0418	0.1697	0.1353	0.1550	0.4667	0.0881	0.1587	0.1133	0.0998	0.1091	0.0571	0.0988	
80	0.0711	0.0519	0.0600	0.1454	0.1326	0.1364	0.3778	0.0628	0.1546	0.0628	0.1561	0.1940	0.0860	0.1692	
81	0.0757	0.0651	0.0391	0.2353	0.2547	0.2626	0.5385	0.1723	0.1299	0.1723	0.1463	0.0944	0.0677	0.0691	
82	0.0355	0.0327	0.0347	0.1446	0.1213	0.1485	0.4490	0.0812	0.1412	0.0849	0.0488	0.0556	0.0489	0.0883	
83	0.0597	0.0300	0.0294	0.2564	0.1369	0.1610	0.4118	0.0808	0.2309	0.1038	0.0915	0.0963	0.0376	0.0627	
84	0.0376	0.0371	0.0303	0.1728	0.1788	0.1928	0.4286	0.1007	0.1299	0.1091	0.1109	0.0974	0.0782	0.1088	
85	0.0532	0.0418	0.0391	0.1752	0.1529	0.1683	0.5250	0.1077	0.1508	0.1128	0.0610	0.0614	0.0497	0.0792	
86	0.0661	0.0560	0.0845	0.0970	0.1027	0.1045	0.2000	0.0255	0.1345	0.0223	0.0757	0.1227	0.0896	0.2300	
87	0.0291	0.0267	0.0373	0.1166	0.0861	0.1128	0.2239	0.0308	0.1498	0.0308	0.0434	0.0651	0.0248	0.0591	
88	0.0541	0.0448	0.0394	0.1765	0.1839	0.1791	0.5192	0.1133	0.1429	0.1217	0.1441	0.1364	0.0704	0.1055	
89	0.0187	0.0232	0.0378	0.0866	0.0794	0.0967	0.2432	0.0286	0.1299	0.0286	0.0084	0.0147	0.0119	0.0329	
90	0.0911	0.0689	0.0448	0.2413	0.2022	0.2424	0.5625	0.1662	0.1443	0.1754	0.1951	0.1364	0.1307	0.1447	
91	0.0510	0.0440	0.0586	0.1131	0.1194	0.1184	0.3200	0.0462	0.1385	0.0462	0.1220	0.1745	0.0355	0.0804	
92	0.0363	0.0323	0.0426	0.1198	0.1084	0.1196	0.3667	0.0534	0.1451	0.0534	0.0556	0.0788	0.0323	0.0724	
93	0.1073	0.0748	0.0861	0.1450	0.1340	0.1369	0.3191	0.0533	0.1535	0.0604	0.1407	0.1741	0.1303	0.2554	
94	0.0386	0.0378	0.0531	0.1005	0.1124	0.1121	0.2973	0.0406	0.1299	0.0406	0.1073	0.1622	0.0330	0.0790	
95	0.0280	0.0309	0.0336	0.1263	0.1380	0.1450	0.4328	0.0765	0.1263	0.0765	0.0627	0.0733	0.0369	0.0682	
96	0.0438	0.0390	0.0433	0.1357	0.1229	0.1420	0.3333	0.0577	0.1385	0.0519	0.0762	0.0909	0.0441	0.0833	
97	0.0463	0.0415	0.0513	0.1196	0.1175	0.1274	0.3784	0.0587	0.1361	0.0587	0.0665	0.0885	0.0352	0.0741	
98	0.0378	0.0361	0.0626	0.0838	0.0931	0.0909	0.1905	0.0211	0.1337	0.0211	0.0906	0.1688	0.0324	0.0957	
99	0.0552	0.0357	0.0425	0.1663	0.1184	0.1326	0.3265	0.0527	0.1818	0.0593	0.0610	0.0779	0.0436	0.0883	
100	0.0422	0.0405	0.0494	0.1158	0.1322	0.1292	0.4828	0.0760	0.1299	0.0652	0.0430	0.0564	0.0729	0.1513	
101	0.0389	0.0354	0.0502	0.1069	0.1058	0.1110	0.3333	0.0451	0.1396	0.0472	0.1191	0.1818	0.0200	0.0484	
102	0.0295	0.0311	0.0431	0.1018	0.1296	0.1136	0.3846	0.0533	0.1299	0.0533	0.0750	0.1119	0.0450	0.1062	
103	0.0652	0.0397	0.0391	0.2074	0.1383	0.1603	0.3818	0.0746	0.1876	0.0781	0.1313	0.1388	0.0589	0.0986	
104	0.0685	0.0547	0.0523	0.1616	0.1930	0.1647	0.4800	0.0963	0.1422	0.1003	0.1272	0.1309	0.0449	0.0731	
105	0.0394	0.0318	0.0393	0.1377	0.1206	0.1275	0.2754	0.0428	0.1566	0.0428	0.0952	0.1265	0.0336	0.0706	
106	0.0430	0.0342	0.0493	0.1176	0.1061	0.1094	0.3462	0.0462	0.1558	0.0410	0.0271	0.0419	0.0306	0.0750	
107	0.0385	0.0332	0.0429	0.1240	0.1095	0.1220	0.3789	0.0563	0.1474	0.0579	0.0455	0.0632	0.0245	0.0539	
108	0.0556	0.0459	0.0440	0.1616	0.1514	0.1647	0.4600	0.0923	0.1422	0.0963	0.0636	0.0655	0.0621	0.1011	
109	0.0416	0.0310	0.0370	0.1527	0.1033	0.1320	0.3333	0.0536	0.1678	0.0744	0.0944	0.1212	0.0305	0.0621	
110	0.0709	0.0572	0.0595	0.1462	0.1364	0.1515	0.2143	0.0396	0.1399	0.0396	0.2265	0.2533	0.0418	0.0740	
111	0.0510	0.0402	0.0586	0.1131	0.1177	0.1082	0.2333	0.0308	0.1515	0.0330	0.0581	0.0909	0.0315	0.0782	
112	0.0391	0.0337	0.0476	0.1131	0.1091	0.1114	0.3000	0.0407	0.1472	0.0489	0.0933	0.1418	0.0299	0.0719	
113	0.0323	0.0332	0.0429	0.1091	0.1104	0.1218	0.4000	0.0593	0.1299	0.0593	0.1045	0.1455	0.0203	0.0447	
114	0.0511	0.0403	0.0412	0.1612	0.1404	0.1542	0.4737	0.0890	0.1515	0.0989	0.1132	0.1244	0.0590	0.1026	
